STATION,DATE,AWND,PRCP,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21
USW00012918,10/20/2000,3.8,0,80,60,1,,,,,,,1,,,,1,,,,,,
USW00012918,10/21/2000,8.5,0.53,79,68,1,,,,,,,1,,,,1,,,1,,,
USW00012918,10/22/2000,9.17,0.23,83,69,1,,,,,,,1,,,,1,,,1,,,
USW00012918,10/23/2000,9.84,0.32,82,73,1,,,,,,,,,,,1,,,1,,,
USW00012918,10/24/2000,7.16,0,80,69,1,,,,,,,1,,,,1,,,,,,
USW00012918,10/25/2000,7.16,0,81,68,1,,,,,,,,,,,1,,,,,,
USW00012918,10/26/2000,7.16,0,83,71,,,,,,,,,,,,,,,,,,
USW00012918,10/27/2000,6.49,0,84,71,,,,,,,,,,,,,,,,,,
USW00012918,10/28/2000,8.05,0,85,69,,,,,,,,,,,,,,,,,,
USW00012918,10/29/2000,7.61,0.04,82,70,,,,,,,,,,,,,,,1,,,
USW00012918,10/30/2000,6.04,0.01,82,71,1,,,,,,,,,,,1,,,1,,,
USW00012918,10/31/2000,8.28,0,83,68,1,,,,,,,,,,,1,,,,,,
USW00012918,11/1/2000,7.83,0.01,83,72,1,,,,,,,,,,,1,,,1,,,
USW00012918,11/2/2000,6.04,0,85,72,1,,,,,,,1,,,,1,,,1,,,
USW00012918,11/3/2000,5.59,0.32,76,72,1,,,,,,,,,,,1,,,1,,,
USW00012918,11/4/2000,5.82,0.45,79,70,1,,,,,,,,,,,1,,,1,,,
USW00012918,11/5/2000,8.05,0.36,80,70,1,,,,,,,,,,,1,,,1,,,
USW00012918,11/6/2000,7.61,1.18,76,61,1,,1,,,,,,,,,1,,,1,,,
USW00012918,11/7/2000,12.3,0.04,70,55,,,1,,,,,,,,,,,,1,,,
USW00012918,11/8/2000,13.65,0.4,63,46,1,,,,,,,,,,,1,,,1,,,
USW00012918,11/9/2000,8.5,0,62,40,,,,,,,,,,,,,,,1,,,
USW00012918,11/10/2000,3.8,0,65,41,,,,,,,,,,,,,,,,,,
USW00012918,11/11/2000,8.95,0,63,48,1,,,,,,,1,,,,1,,,,,,
USW00012918,11/12/2000,10.96,1.49,78,55,1,1,1,,,,,,,,1,1,,,1,,,
USW00012918,11/13/2000,14.54,0,56,44,,,,,,,,,,,,,,,1,,,
USW00012918,11/14/2000,7.16,0,59,37,,,,,,,,,,,,,,,,,,
USW00012918,11/15/2000,7.61,0,65,46,,,,,,,,,,,,,,,1,,,
USW00012918,11/16/2000,5.59,0.83,69,57,1,,1,,,,,,,,,1,,,1,,,
USW00012918,11/17/2000,14.09,0.93,57,46,1,,,,,,,,,,,1,,,1,,,
USW00012918,11/18/2000,14.32,2.63,46,43,1,,,,,,,,,,,1,,,1,,,
USW00012918,11/19/2000,8.5,0.08,57,41,1,,,,,,,,,,,1,,,1,,,
USW00012918,11/20/2000,2.46,0,62,38,1,,,,,,,,,,,,,,,,,1
USW00012918,11/21/2000,6.49,0,58,40,,,,,,,,,,,,,,,,,,
USW00012918,11/22/2000,7.83,0,67,41,,,,,,,,,,,,,,,,,,
USW00012918,11/23/2000,10.07,0.06,75,61,,,1,,,,,,,,,,,,1,,,
USW00012918,11/24/2000,15.43,0.85,71,53,1,,1,,,,,,,,,1,,,1,,,
USW00012918,11/25/2000,6.93,0,64,49,,,,,,,,,,,,,,,,,,
USW00012918,11/26/2000,5.59,0,67,46,,,,,,,,,,,,,,,,,,
USW00012918,11/27/2000,4.25,0,73,44,1,,,,,,,,,,,1,,,,,,
USW00012918,11/28/2000,6.71,0,74,54,1,,,,,,,,,,,,,,,,,1
USW00012918,11/29/2000,9.4,0.2,74,57,1,,,,,,,,,,,1,,,1,,,1
USW00012918,11/30/2000,7.61,0,62,49,,,,,,,,,,,,,,,,,,
USW00012918,12/1/2000,9.17,0,72,57,1,,,,,,,1,,,,1,,,1,,,
USW00012918,12/2/2000,14.76,0,57,42,,,,,,,,,,,,,,,,,,
USW00012918,12/3/2000,9.17,0.01,48,41,,,,,,,,,,,,,,,1,,,
USW00012918,12/4/2000,5.59,0,52,44,,,,,,,,,,,,,,,1,,,
USW00012918,12/5/2000,4.7,0,59,41,,,,,,,,,,,,,,,,,,
USW00012918,12/6/2000,9.17,0.24,54,49,1,,,,,,,,,,,1,,,1,,,
USW00012918,12/7/2000,4.7,0,59,39,,,,,,,,,,,,,,,,,,
USW00012918,12/8/2000,2.91,0,69,38,1,1,,,,,,1,,,,1,,,,,,1
USW00012918,12/9/2000,4.7,0,67,50,1,1,,,,,,,,,,1,,,,,,1
USW00012918,12/10/2000,6.49,0,77,54,1,,,,,,,,,,,,,,,,,1
USW00012918,12/11/2000,12.08,0,79,41,1,,,,,,,,,,,1,,,,,,1
USW00012918,12/12/2000,14.99,0,42,34,,,,,,,,,,,,,,,1,,,
USW00012918,12/13/2000,9.4,0.86,47,36,1,,1,,,,,,,,,1,,,1,,,
USW00012918,12/14/2000,6.71,0,52,41,1,,,,,,,,,,,1,,,,,,
USW00012918,12/15/2000,6.93,0.05,62,43,1,1,,,,,,,,,,1,,,1,,,
USW00012918,12/16/2000,18.34,0,68,43,1,,,,,,,,,,,1,1,,1,,,
USW00012918,12/17/2000,6.49,0,52,32,,,,,,,,,,,,,,,,,,
USW00012918,12/18/2000,11.41,0.06,63,42,,,,,,,,,,,,,,,1,,,
USW00012918,12/19/2000,8.28,0,55,35,,,,,,,,,,,,,,,,,,
USW00012918,12/20/2000,8.72,0,67,36,,,,,,,,,,,,,,,,,,
USW00012918,12/21/2000,15.21,0,57,43,,,,,,,,,,,,,,,,,,
USW00012918,12/22/2000,10.51,0,50,35,,,,,,,,,,,,,,,,,,
USW00012918,12/23/2000,10.29,0,56,44,,,,,,,,,,,,,,,,,,
USW00012918,12/24/2000,10.29,0.46,56,49,1,,,,,,,,,,,1,,,1,,,
USW00012918,12/25/2000,14.09,0.03,55,50,,,,,,,,,,,,,,,1,,,
USW00012918,12/26/2000,11.86,0.72,59,42,1,,1,,,,,,,,,1,,,1,,,
