"","OCCUR_DATE","OCCUR_TIME","BORO","LOC_OF_OCCUR_DESC","PRECINCT","JURISDICTION_CODE","LOC_CLASSFCTN_DESC","LOCATION_DESC","STATISTICAL_MURDER_FLAG","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE"
"15665",2020-12-17,58200,"MANHATTAN",NA,25,0,NA,"MULTI DWELL - PUBLIC HOUS",FALSE,"18-24","M","BLACK","25-44","M","BLACK"
"15666",2016-03-20,73200,"BRONX",NA,43,0,NA,NA,FALSE,NA,NA,NA,"18-24","M","WHITE HISPANIC"
"15667",2008-11-28,80100,"QUEENS",NA,113,0,NA,"PVT HOUSE",TRUE,"25-44","M","BLACK","25-44","M","BLACK"
"15668",2014-07-04,85320,"BRONX",NA,47,0,NA,NA,FALSE,NA,NA,NA,"18-24","M","BLACK"
"15669",2015-04-12,66600,"BRONX",NA,47,0,NA,NA,FALSE,NA,NA,NA,"18-24","M","BLACK"
"15670",2020-08-23,11100,"QUEENS",NA,105,0,NA,"PVT HOUSE",FALSE,NA,NA,NA,"18-24","M","BLACK"
"15671",2011-03-01,80640,"BROOKLYN",NA,69,2,NA,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"<18","M","BLACK"
"15672",2017-07-21,2460,"BROOKLYN",NA,77,0,NA,NA,FALSE,NA,NA,NA,"45-64","M","BLACK"
"15673",2019-03-02,15600,"QUEENS",NA,113,0,NA,NA,FALSE,NA,NA,NA,"18-24","M","BLACK"
"15674",2009-07-23,31440,"BROOKLYN",NA,79,2,NA,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,"M","BLACK","25-44","M","BLACK"
"15675",2014-03-11,86160,"BROOKLYN",NA,67,0,NA,NA,FALSE,"25-44","M","BLACK","25-44","M","BLACK HISPANIC"
"15676",2008-08-21,360,"BRONX",NA,44,0,NA,NA,FALSE,"25-44","M","ASIAN / PACIFIC ISLANDER","18-24","M","BLACK"
"15677",2021-05-23,45420,"BRONX",NA,42,2,NA,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","M","BLACK"
"15678",2010-04-03,8460,"STATEN ISLAND",NA,120,0,NA,"MULTI DWELL - APT BUILD",FALSE,NA,"M","BLACK","18-24","M","BLACK"
"15679",2014-01-31,46980,"QUEENS",NA,103,0,NA,"RESTAURANT/DINER",FALSE,NA,NA,NA,"25-44","M","BLACK HISPANIC"
"15680",2011-05-10,39720,"BROOKLYN",NA,71,0,NA,NA,FALSE,NA,NA,NA,"18-24","M","BLACK"
"15681",2009-08-09,6240,"MANHATTAN",NA,23,2,NA,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","M","BLACK"
"15682",2022-06-24,6900,"BRONX","INSIDE",48,0,"DWELLING","MULTI DWELL - APT BUILD",FALSE,NA,NA,NA,"18-24","M","BLACK"
"15683",2021-05-07,58920,"BRONX",NA,44,0,NA,NA,FALSE,"25-44","M","BLACK","25-44","M","BLACK"
"15684",2021-05-11,5100,"BRONX",NA,44,0,NA,NA,FALSE,NA,NA,NA,"25-44","M","BLACK HISPANIC"
"15685",2006-05-14,1800,"STATEN ISLAND",NA,120,0,NA,NA,FALSE,NA,NA,NA,"25-44","M","WHITE"
"15686",2009-06-26,1800,"STATEN ISLAND",NA,120,0,NA,NA,FALSE,NA,NA,NA,"25-44","M","BLACK"
"15687",2020-10-13,6600,"QUEENS",NA,104,0,NA,NA,FALSE,"18-24","M","WHITE HISPANIC","25-44","M","BLACK HISPANIC"
"15688",2007-02-09,81900,"MANHATTAN",NA,18,0,NA,NA,FALSE,NA,"M","BLACK","<18","M","WHITE HISPANIC"
"15689",2013-10-06,63900,"BROOKLYN",NA,77,0,NA,NA,TRUE,"18-24","M","BLACK","45-64","M","BLACK"
"15690",2010-12-07,77340,"BROOKLYN",NA,81,0,NA,"MULTI DWELL - APT BUILD",FALSE,NA,"M","BLACK","25-44","M","BLACK"
"15691",2010-05-17,71520,"BRONX",NA,45,0,NA,"COMMERCIAL BLDG",FALSE,"25-44","M","WHITE HISPANIC","25-44","M","BLACK"
"15692",2020-09-21,78960,"BROOKLYN",NA,88,0,NA,NA,FALSE,NA,NA,NA,"25-44","M","WHITE HISPANIC"
