STATION,DATE,AWND,PRCP,TMAX,TMIN,WDF5,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21
USW00012918,3/4/1999,10.96,0,71,45,150,25.9,,,,,,,,,,,,,,,,,,
USW00012918,3/5/1999,10.07,0,74,65,170,25.9,1,,,,,,,,,,,1,,,1,,,
USW00012918,3/6/1999,6.26,0,84,63,60,19.9,1,1,,,,,,,,,,1,1,,1,,,
USW00012918,3/7/1999,15.43,0,68,55,100,25.9,1,,,,,,,,,,,1,1,,1,,,
USW00012918,3/8/1999,13.42,0.2,79,64,200,33.1,1,,,,,,,,,,,1,1,,1,,,
USW00012918,3/9/1999,6.04,0,79,61,30,17,1,1,,,,,,,,,,1,1,,1,,,
USW00012918,3/10/1999,6.71,0,76,59,150,17,1,1,,,,,,,,,,1,,,1,,,
USW00012918,3/11/1999,7.83,0.01,78,68,120,19.9,1,,,,,,,,,,,1,,,1,,,
USW00012918,3/12/1999,11.86,0.23,79,61,190,29.1,1,,,,,,,,,,,1,,,1,,,
USW00012918,3/13/1999,18.34,1.07,72,45,320,38,1,,1,,,,,,,,,1,,,1,,,
USW00012918,3/14/1999,16.55,0,57,43,330,34,,,,,,,,,,,,,,,,,,
USW00012918,3/15/1999,5.14,0,67,38,160,13,,,,,,,,,,,,,,,,,,
USW00012918,3/16/1999,7.83,0,73,43,150,21.9,,,,,,,,,,,,,,,,,,
USW00012918,3/17/1999,10.29,0,75,61,150,29.1,,,,,,,,,,,,,,,,,,
USW00012918,3/18/1999,12.08,0,73,65,110,25.1,,,,,,,,,,,,,,,1,,,
USW00012918,3/19/1999,6.71,0.29,70,63,150,23.9,1,,1,,,,,,,,,1,,,1,,,
USW00012918,3/20/1999,11.18,0,70,56,290,21.9,1,,,,,,,,,,,1,,,1,,,
USW00012918,3/21/1999,7.16,0,74,47,10,19.9,,,,,,,,,,,,,,,,,,
USW00012918,3/22/1999,6.71,0,73,49,170,23.9,1,,,,,,,,,,,1,,,,,,1
USW00012918,3/23/1999,6.71,0.01,77,58,150,17.9,1,,,,,,,,,,,1,,,1,,,
USW00012918,3/24/1999,4.7,0,80,64,150,17.9,1,,,,,,,,,,,1,,,,,,
USW00012918,3/25/1999,10.07,0,73,59,340,25.1,1,,,,,,,,,,,1,,,,,,
USW00012918,3/26/1999,8.28,0,69,52,80,19.9,,,,,,,,,,,,,,,,,,
USW00012918,3/27/1999,12.53,0,69,53,120,30,,,,,,,,,,,,,,,,,,
USW00012918,3/28/1999,8.72,0.45,73,61,260,31.1,1,,,,,,,,,,,1,,,1,,,
USW00012918,3/29/1999,10.51,1.15,67,59,10,30,1,1,,,,,,,,,,1,,,1,,,
USW00012918,3/30/1999,8.05,0.07,64,59,20,17.9,1,,,,,,,,,,,1,1,,1,,,
USW00012918,3/31/1999,3.8,0,72,60,150,17,1,,,,,,,1,,,,1,,,,,,
USW00012918,4/1/1999,8.95,0.01,76,63,170,25.1,1,1,,,,,,,,,,1,,,1,,,
USW00012918,4/2/1999,9.4,0,76,70,160,29.1,1,,,,,,,,,,,1,,,1,,,
USW00012918,4/3/1999,16.11,0.01,81,64,150,38.9,1,,1,,,,,,,,,1,,,1,,,
USW00012918,4/4/1999,11.63,0.01,77,66,110,25.1,1,,,,,,,,,,,1,1,,1,,,
USW00012918,4/5/1999,7.83,0,82,64,350,21.9,1,,,,,,,,,,,1,1,,1,,,
USW00012918,4/6/1999,8.28,0,83,54,110,21.9,1,,,,,,,,,,,1,,,,,,
USW00012918,4/7/1999,8.05,0,84,70,150,21,1,,,,,,,,,,,1,,,,,,
USW00012918,4/8/1999,12.3,0,84,72,170,28,,,,,,,,,,,,,,,,,,
USW00012918,4/9/1999,9.84,0,85,70,170,25.1,1,,,,,,,,,,,1,,,,,,
USW00012918,4/10/1999,8.5,0,88,71,220,25.9,1,,,,,,,,,,,1,,,,,,
USW00012918,4/11/1999,6.49,0,85,71,70,17.9,1,,,,,,,,,,,1,,,,,,
USW00012918,4/12/1999,9.4,0,84,65,130,25.1,,,,,,,,,,,,,,,,,,
USW00012918,4/13/1999,9.4,0,81,66,150,23.9,,,,,,,,,,,,,,,,,,
USW00012918,4/14/1999,11.18,0.35,86,66,190,36,1,,1,,,,,1,,,,1,,,1,,,
USW00012918,4/15/1999,16.78,0,75,57,340,33.1,,,,,,,,,,,,,,,,,,
USW00012918,4/16/1999,10.74,0,67,52,10,23,,,,,,,,,,,,,,,,,,
USW00012918,4/17/1999,5.59,0,72,45,360,147,,,,,,,,,,,,,,,,,,
USW00012918,4/18/1999,6.04,0,77,48,240,21.9,,,,,,,,,,,,,,,,,,
USW00012918,4/19/1999,9.4,0,83,58,180,23.9,,,,,,,,,,,,,,,,,,
USW00012918,4/20/1999,10.29,0,84,62,180,25.1,,,,,,,,,,,,,,,,,,
USW00012918,4/21/1999,13.2,0,80,65,150,31.1,,,,,,,,,,,,,,,1,,,
USW00012918,4/22/1999,13.65,0,86,70,170,30,,,,,,,,,,,,,,,,,,
USW00012918,4/23/1999,10.51,0,88,73,150,23,,,,,,,,,,,,,,,,,,
USW00012918,4/24/1999,8.5,0,83,72,110,17.9,1,,,,,,,,,,,1,,,,,,
USW00012918,4/25/1999,8.05,0,85,71,180,23,1,,,,,,,,,,,1,,,,,,
